nl,fr
gaspard,gaspard
genre,genre
mensen,gens
grammatica,grammaire
groot,gros
dankzij,grâce
verhaal,histoire
hier,ici
hij,il
doet ertoe,importe
niet in staat,incapable
ongelooflijk,incroyable
oneindig,infiniment
input,input
ik heb,j'ai
ik leerde,j'apprenais
ik kon,j'arrivais
ik had,j'avais
ik gebruik,j'utilise
ik was,j'étais
nooit,jamais
ik,je
dag,jour
die dag,jour-là
dagen,jours
tot aan,jusqu'à
gewoon,juste
inderdaad,justement
het engels,l'anglais
de ruimte,l'espace
het idee,l'idée
de spelling,l'orthographe
de ene,l'une
de school,l'école
de,la
taal,langue
talen,langues
de,le
langzaam,lentement
welke,lequel
de,les
hun,leur
lessen,leçons
link,lien
plaats,lieu
letterlijk,littéralement
lang,long
lang,longtemps
daar,là
heeft me,m'a
ik amuseer me,m'amuse
me er,m'en
me uitdrukken,m'exprimer
interesseert me,m'intéresse
mijn,ma
prachtig,magnifique
maar,mais
slecht,mal
manier,manière
gemarkeerd,marqué
moedertaal,maternelle
wiskunde,mathématiques
slecht,mauvais
me,me
beste,meilleur
beste,meilleure
betere,meilleures
bedankt,merci
mijn,mes
beter,mieux
modus,mode
ik,moi
minder,moins
maanden,mois
mijn,mon
laat zien,montre
woord,mot
gemotiveerd,motivé
woorden,mots
methode,méthode
zelfs,même
leer niet,n'apprends
kon niet,n'arrivais
hebt niet,n'as
had niet,n'avait
vergeet niet,n'oubliez
er niet,n'y
was niet,n'était
nanana,nanana
nanani,nanani
natuurlijk,naturel
natuurlijk,naturellement
niet,ne
niveau,niveau
nee,non
aantekeningen,notes
nieuw,nouvelle
nul,nul
geboren,née
observeer je,observes
oké,ok
men,on
of,ou
vergeten,oubliés
waar,où
per,par
omdat,parce
ouders,parents
perfect,parfaitement
spreekt,parle
spreken,parler
niet,pas
geef me,passe-moi
doorbrengen,passer
voorbij,passé
tijdens,pendant
denken,penser
denk,pensez
persoon,personne
personen,personnes
klein,petit
beetje,peu
misschien,peut-être
kan,peux
zin,phrase
zinnen,phrases
erger,pire
vol,plein
meer,plus
podcast,podcast
gesteld,posé
voor,pour
waarom,pourquoi
toch,pourtant
kon,pouvais
kon,pouvait
eerste,premier
probleem,problème
vooruitgaan,progresser
project,projet
bewezen,prouvé
waarschuwen,prévenir
dan,puis
om te leren,qu'apprendre
dan aan,qu'au
dan voor,qu'avant
wat is,qu'est
dat men,qu'on
dan enorm,qu'énormément
wanneer,quand
dat,que
welk,quel
iemand,quelqu'un
iets,quelque
enkele,quelques
vraag,question
wie,qui
wat,quoi
eindeloos herhaald,rabâché
snel,rapidement
herinner,rappelle
bekijken,regarder
bekeken,regardé
maaltijd,repas
niets,rien
regels,règles
samenvatten,résumer
weet,sache
weet,sais
hoi,salut
zonder,sans
wist,savais
weten,savoir
scrollend,scrollant
zich,se
volgens,selon
gevoel,sens
zul zijn,seras
alleen,seule
als,si
eenvoudig,simple
eenvoudig,simplement
zal uitkomen,sortira
stijl,style
ben,suis
vervolg,suite
op,sur
vooral,surtout
tafel,table
je,te
zo,tellement
tijd,temps
jij,toi
gevallen,tombé
jouw,ton
totaal,totalement
wending,tournure
alles,tout
hele,toute
alle,toutes
vertalen,traduire
vertaal,traduis
trein,train
werkte,travaillais
werken,travailler
vond,trouvais
vinden,trouver
gevonden,trouvé
ding,truc
dingen,trucs
zeer,très
jij,tu
type,type
een,un
een,une
gebruikte,utilisait
gaat,va
ik ga,vais
waard,vaut
zul zien,verras
willen,veulent
wil,veut
wil,veux
video,vidéo
video's,vidéos
leven,vie
komt,viens
snel,vite
levendige,vivante
levendige,vivantes
woordenschat,vocabulaire
zien,voir
volka,volka
wilde,voulais
willen,voulez
gewild,voulu
jullie,vous
waar,vrai
echt,vraiment
er,y
youtube,youtube
naar,à
dat,ça
luisteren,écouter
luistert,écoutes
enorm,énormément
die periode,époque-là
was,était
buitenlandse,étrangère
geweest,été
zijn,être
