nl,fr
de boom,l'arbre
de andere,l'autre
het water,l'eau
de ruimte,l'espace
het gras,l'herbe
het uur,l'heure
de winter,l'hiver
het moment,l'instant
het binnenste,l'intérieur
men,l'on
het schrijven,l'écrire
de,la
breed,large
de,le
de,les
hun,leur
hun,leurs
link,lien
klimop,lierre
ver,loin
lang,long
hem,lui
lichtsterkte,luminosité
daar,là
daar beneden,là-bas
stuur mij,m'envoyer
prachtig,magnifique
maar,mais
huis,maison
huizen,maisons
overwegend,majoritairement
meerderheid,majorité
eten,mangent
loopt,marche
lopen,marcher
slechte,mauvaises
mij,me
zou zetten,mettrait
zetten,mettre
midden,milieu
duizenden,milliers
miljoenen,millions
gezet,mis
mij,moi
moment,moment
mijn,mon
wereld,monde
berg,montagne
klimmen,montent
klimmen,monter
klim,montée
dood,mort
dode,morte
dode (mv.),mortes
vliegen,mouches
mos,mousse
meter,mètres
zelfs,même
heeft niet,n'a
is niet,n'est
aarzel niet,n'hésite
hebben niet,n'ont
vergeet niet,n'oublie
er niet,n'y
natuur,nature
niet,ne
met name,notamment
men,on
hebben,ont
oren,oreilles
of,ou
ja,oui
waar,où
bord,panneau
door,par
omdat,parce
perfect,parfait
gaat,part
deelt,partage
niet,pas
doorgang,passage
lopen,passent
tijdens,pendant
persoon,personne
personen,personnes
klein,petit
kleine,petite
kan,peut
misschien,peut-être
kan,peux
spechten,pics
prikt,pique
zwembad,piscine
paardenbloem,pissenlit
paardenbloemen,pissenlits
plezier,plaisir
planten,plantes
geplant (mv.),plantés
vlak,plat
vol,plein
regen,pluie
meeste,plupart
meer,plus
liever,plutôt
punten,pointes
voor,pour
groeien,poussent
gegroeid,poussé
eerste,première
lente,printemps
privé,privée
genieten van,profiter
eigenaar,propriétaire
eigenaars,propriétaires
eigendom,propriété
weide,pré
voorbereiden,préparer
trappen,pédale
fietsen,pédaler
dat zij (mv.),qu'elles
dat er,qu'en
dat hij,qu'il
dat men,qu'on
dat een,qu'un
wanneer,quand
dat,que
iemand,quelqu'un
iets,quelque
die,qui
wat,quoi
wortels,racines
wandeltocht,randonnée
kijkt,regarde
kijken,regarder
teruggaan,rentrer
rusten,reposent
rusten,reposer
blijft,reste
beperkt,restreint
vindt terug,retrouve
tegendeel,revanche
riskeren,risquent
bramen,ronces
weg,route
rush,rush
werkelijkheid,réalité
heet,s'appelle
gaan zitten,s'asseoir
vluchten,s'enfuient
weet,sait
behalve,sauf
zich,se
seconden,secondes
weken,semaines
gevoel,sens
pad,sentier
zal zijn,sera
dient,sert
zijn,ses
als,si
siësta,sieste
teken,signe
tekens,signes
grond,sol
zijn,son
zijn,sont
naar buiten gegaan,sorti
naar buiten gaan,sortir
onder,sous
zou ondersteunen,soutiendrait
vaak,souvent
ben,suis
volgt,suit
op,sur
vooral,surtout
droge (mv.),sèches
abonneren,t'abonner
jou,te
zulke,telle
tijd,temps
terrein,terrain
aarde,terre
jou,toi
gevallen (mv.),tombées
raakt,touche
altijd,toujours
alles,tout
heel,toute
alle,toutes
bezig,train
rustig,tranquillement
triest,triste
drie,trois
stam,tronc
kettingzaag,tronçonneuse
te veel,trop
heel,très
jij,tu
buis,tuyau
soort,type
een,un
een,une
gaat,va
koeien,vaches
ga,vais
gaat,vas
gekomen,venu
glas,verre
groen,vert
groene,verte
wil,veut
video,vidéo
komt,vient
snel,vite
woordenschat,vocabulaire
zien,voir
zie,vois
ziet,voit
auto,voiture
auto's,voitures
gaan,vont
jullie,vous
zien,voyez
echt,vraiment
gezien,vu
uitzicht,vue
fiets,vélo
controleren,vérifier
er,y
naar,à
dat,ça
uitgekomen,éclos
komen uit,éclosent
geluisterd,écouté
schrijft,écrit
enorm,énormément
geweest,été
afgevoerd,évacuée
vermijden,éviter
zijn,être
