nl,fr
links,gauche
mensen,gens
glijden,glisser
rooster,grille
dankzij,grâce
algemeen,général
hier,ici
hij,il
zij (meervoud),ils
flatgebouwen,immeubles
invoer,input
ik heb,j'ai
ik kom aan,j'arrive
ik wacht,j'attends
ik hoop,j'espère
ik open,j'ouvre
ik,je
spel,jeu
spelen,jouer
tot in,jusqu'en
gewoon,juste
fysiotherapeut,kiné
de toegang,l'accès
het terrein,l'aire
het (jij hebt),l'as
de trap,l'escalier
het voorbeeld,l'exemple
het uur,l'heure
de verplichting,l'obligation
de,la
laten,laisser
breed,large
de,le
de (meervoud),les
hun,leurs
link,lien
like,like
grens,limite
verbonden,liés
Loire,loire
daar,là
mijn,ma
winkels,magasins
hand,main
maar,mais
huis,maison
slecht,mal
werkt,marche
lopen,marcher
treden,marches
markt,marché
leuk,marrant
ochtend,matin
stof,matière
dat ding,matière-là
mij,me
zetten,mettre
module,module
modules,modules
mij,moi
minder,moins
mijn,mon
wereld,monde
klimt,monte
klimmen,monter
toont,montre
tonen,montrer
getoond,montrée
woord,mot
woorden,mots
heb niet,n'ai
zullen niet hebben,n'auront
is niet,n'est
hebben niet,n'ont
natuurlijk,naturellement
niet,ne
noch,ni
nee,non
object,objet
men,on
hebben (zij),ont
origineel,original
of,ou
open,ouverts
openen (zij),ouvrent
per,par
omdat,parce
ouders,parents
parkeerplaats,parking
zal praten,parlera
dat deel,partie-là
niet,pas
doorgang,passage
gaat,passe
gaan,passer
gepasseerd,passé
personen,personnes
klein,petit
kleine,petite
kan,peut
kunnen (zij),peuvent
kan (ik),peux
voetganger,piéton
voetgangersgebied,piétonne
voetgangers,piétons
plaatsen,places
vol,plein
meeste,plupart
meer,plus
deur,porte
poortje,portillon
paal,poteau
potentieel,potentiellement
prullenbak,poubelle
prullenbakken,poubelles
voor,pour
zou kunnen,pourrait
eerste,premier
nemen,prendre
prioriteit,prioritaire
privé,privée
dichtbij,près
bereiden,préparer
waarschuwen,prévenir
kan (hij),puisse
kunnen (zij),puissent
dat zij,qu'elles
dat hij,qu'il
dat men,qu'on
kades,quais
wanneer,quand
dat,que
welke,quel
iets,quelque
wie,qui
wat,quoi
leuning,rambarde
leuningen,rambardes
missen,rater
kijken,regarder
kijk (jullie),regardez
opgemerkt,remarqué
terugkeren,rentrer
zal opnieuw praten,reparlera
terugkomen,ressortir
vindt terug,retrouve
tegendeel,revanche
gordijnen,rideaux
niets,rien
rijden,rouler
weg,route
straat,rue
die straat,rue-là
halen (zij),récupèrent
antwoord,réponse
bewoners,résidents
samenvatten,résumer
grijpen (zij),s'agrippent
heet,s'appelle
stoppen,s'arrêter
gaan zitten (zij),s'assoient
haar,sa
weet,sais
behalve,sauf
zich,se
seconden,secondes
zou zijn,serait
dient voor,sert
slechts,seulement
als,si
avond,soir
grond,sol
bellen,sonner
zijn,sont
soort,sorte
uitgangen,sorties
uitgaan,sortir
vaak,souvent
geparkeerd,stationnées
standbeeld,statue
ben,suis
op,sur
sessie,séance
zeker,sûr
jij hebt,t'as
ik neem je mee,t'emmène
je,te
tijd,temps
vasthouden,tenir
test,test
glijbaan,toboggan
vallen (zij),tombent
vallen,tomber
alle,tous
alles,tout
trein,train
getransformeerd,transformé
oversteken,traverser
drie,trois
stoep,trottoir
vinden,trouver
heel,très
jij,tu
een,un
een,une
gebruikt,utilise
gebruiken (zij),utilisent
gebruikt (meervoud),utilisés
gaat,va
ga,vais
gaat (jij),vas
vrijdag,vendredi
komen,venir
groen,vert
wil (hij),veut
wil (ik),veux
video,vidéo
kom,viens
stad,ville
snel,vite
vlog,vlog
zien,voir
ziet,voit
auto,voiture
auto's,voitures
luiken,volets
gaan (zij),vont
wilde,voulais
jullie,vous
gezien,vu
er,y
naar,à
oud,âgées
dat,ça
school,école
schrijft,écrit
enorm,énormément
evenwicht,équilibre
natuurlijk,évidemment
zijn,être
