nl,fr
dat deel,partie-là
niet,pas
grasmat,pelouse
grasmatten,pelouses
tijdens,pendant
polsstok,perche
persoon,personne
personen,personnes
klein,petit
kleine,petits
beetje,peu
kan,peut
kunnen,peuvent
baan,piste
plek,place
plezier,plaisir
plan,plan
plastic,plastique
vol,plein
piloentjes,plots
meeste,plupart
meer,plus
gewichten,poids
poort,portail
deur,porte
kapstok,porte-manteau
neerleggen,poser
mogelijk,possible
voor,pour
zal kunnen,pourras
duwen,pousser
eerste,première
nemen,prendre
neem,prends
hoofd-,principale
waarschijnlijk,probablement
dichtbij,proche
genieten van,profiter
openbaar,public
kunnen (conjunctief mv.),puissent
petanque,pétanque
dat zij,qu'elle
dat hij,qu'il
dat zij (mv.),qu'ils
dat men,qu'on
dat een,qu'une
wanneer,quand
dat,que
welke,quel
iemand,quelqu'un
enkele,quelques
die,qui
wat,quoi
willekeurig,random
opnieuw doen,refaire
kijken,regarder
aansluiten,rejoindre
teruggaan,rentrer
blijft,reste
gebleven,resté
kraan,robinet
ritme,rythme
liggen,s'allonger
gaan zitten,s'asseoir
zorgen voor,s'occuper
afvoeren,s'évacue
saint-étienne,saint-étienne
weet,sais
sprong,saut
zich,se
secundair,secondaire
zijn,ses
alleen,seulement
als,si
zijn (conjunctief),soit
grond,sol
zon,soleil
zijn,son
zijn,sont
gaat naar buiten,sort
sport,sport
sportief,sportif
sportieven,sportifs
sporten,sports
sprint,sprint
stadion,stade
stagneert,stagne
steps,steps
street,street
ben,suis
supporters,supporters
op,sur
vooral,surtout
synthetisch,synthétique
er van,t'en
terwijl,tandis
tennis,tennis
terrein,terrain
terreinen,terrains
aarde,terre
vallen,tombent
gemaaid,tondu
raakt,touche
rondleiding,tour
draait,tourne
draaischijf,tourniquet
alle,tous
alles,tout
heel,toute
trekker,tracteur
optrekken,traction
optreksels,tractions
bezig,train
tribune,tribune
tribunes,tribunes
heel,très
jij,tu
een,un
een,une
up,up
gebruikend,utilisent
gebruiken,utilisant
gaat,va
ga,vais
gaat,vas
komen,venir
gekomen,venue
gekomen (mv.),venues
naar,vers
kleedkamers,vestiaires
willen,veulent
wil,veut
video,vidéo
komen,viennent
komt,vient
oud,vieux
stad,ville
snel,vite
woordenschat,vocabulaire
voilà,voilà
zien,voir
zie,vois
ziet,voit
jullie,vous
echt,vrai
echte,vraie
gezien,vu
workout,workout
er,y
zigzags,zigzags
naar,à
dat,ça
ladders,échelles
schrijf,écris
vermijden,éviter
